AMAT,"Applied Materials, Inc.",Technology,Semiconductor Equipment & Materials,http://www.appliedmaterials.com
AMCR,Amcor plc,Consumer Cyclical,Packaging & Containers,http://www.amcor.com
AMD,"Advanced Micro Devices, Inc.",Technology,Semiconductors,http://www.amd.com
AME,"AMETEK, Inc.",Industrials,Specialty Industrial Machinery,http://www.ametek.com
AMGN,Amgen Inc.,Healthcare,Drug Manufacturers—General,http://www.amgen.com
AMP,"Ameriprise Financial, Inc.",Financial Services,Asset Management,http://www.ameriprise.com
AMT,American Tower Corporation (REIT),Real Estate,REIT—Specialty,http://www.americantower.com
AMZN,"Amazon.com, Inc.",Consumer Cyclical,Internet Retail,http://www.amazon.com
ANET,"Arista Networks, Inc.",Technology,Computer Hardware,http://www.arista.com
ANSS,"ANSYS, Inc.",Technology,Software—Application,http://www.ansys.com
ANTM,"Anthem, Inc.",Healthcare,Healthcare Plans,http://www.antheminc.com
AON,Aon Plc,Financial Services,Insurance Brokers,http://www.aon.com
AOS,A. O. Smith Corporation,Industrials,Specialty Industrial Machinery,http://www.aosmith.com
APA,Apache Corporation,Energy,Oil & Gas E&P,http://www.apachecorp.com
APD,"Air Products and Chemicals, Inc.",Basic Materials,Chemicals,http://www.airproducts.com
APH,Amphenol Corporation,Technology,Electronic Components,http://www.amphenol.com
APTV,Aptiv PLC,Consumer Cyclical,Auto Parts,http://www.aptiv.com
ARE,"Alexandria Real Estate Equities, Inc.",Real Estate,REIT—Office,http://www.are.com
ATO,Atmos Energy Corporation,Utilities,Utilities—Regulated Gas,http://www.atmosenergy.com
ATVI,"Activision Blizzard, Inc.",Communication Services,Electronic Gaming & Multimedia,http://www.activisionblizzard.com
AVB,"AvalonBay Communities, Inc.",Real Estate,REIT—Residential,http://www.avalonbay.com
AVGO,Broadcom Inc.,Technology,Semiconductors,http://www.broadcom.com
AVY,Avery Dennison Corporation,Industrials,Business Equipment & Supplies,http://www.averydennison.com
AWK,"American Water Works Company, Inc.",Utilities,Utilities—Regulated Water,http://www.amwater.com
AXP,American Express Company,Financial Services,Credit Services,http://www.americanexpress.com
AZO,"AutoZone, Inc.",Consumer Cyclical,Specialty Retail,http://www.autozone.com
BA,The Boeing Company,Industrials,Aerospace & Defense,http://www.boeing.com
BAC,Bank of America Corporation,Financial Services,Banks—Diversified,http://www.bankofamerica.com
BAX,Baxter International Inc.,Healthcare,Medical Instruments & Supplies,http://www.baxter.com
BBY,"Best Buy Co., Inc.",Consumer Cyclical,Specialty Retail,http://www.bestbuy.com
BDX,"Becton, Dickinson and Company",Healthcare,Medical Instruments & Supplies,http://www.bd.com
BEN,"Franklin Resources, Inc.",Financial Services,Asset Management,http://www.franklinresources.com
BIIB,Biogen Inc.,Healthcare,Drug Manufacturers—General,http://www.biogen.com
BK,The Bank of New York Mellon Corporation,Financial Services,Asset Management,http://www.bnymellon.com
BKNG,Booking Holdings Inc.,Consumer Cyclical,Travel Services,http://www.bookingholdings.com
BKR,Baker Hughes Company,Energy,Oil & Gas Equipment & Services,http://www.bakerhughes.com
BLK,"BlackRock, Inc.",Financial Services,Asset Management,http://www.blackrock.com
BLL,Ball Corporation,Consumer Cyclical,Packaging & Containers,http://www.ball.com
